Index,Name,Type
113,/features/stage2/unit5/branches/branch4/pool/AveragePool_quant,AveragePool
114,/features/stage2/unit5/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv
115,/features/stage2/unit5/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv
116,/features/stage2/unit5/branches/branch4/conv/conv/Conv_quant,Conv
117,/features/stage2/unit5/branches/branch2/conv_list/conv3/conv/Conv_quant,Conv
118,/features/stage2/unit5/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv
119,/features/stage2/unit5/branches/branch3/conv_list/conv4/conv/Conv_quant,Conv
120,/features/stage2/unit5/branches/branch3/conv_list/conv5/conv/Conv_quant,Conv
121,/features/stage2/unit5/branches/Concat_quant/0,Remap
122,/features/stage2/unit5/branches/Concat_quant/1,Remap
123,/features/stage2/unit5/branches/Concat_quant/3,Remap
124,/features/stage2/unit6/branches/branch1/conv/conv/Conv_quant,Conv
125,/features/stage2/unit6/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv
126,/features/stage2/unit6/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv
127,/features/stage2/unit6/branches/branch4/pool/AveragePool_quant,AveragePool
128,/features/stage2/unit6/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv
129,/features/stage2/unit6/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv
130,/features/stage2/unit6/branches/branch4/conv/conv/Conv_quant,Conv
131,/features/stage2/unit6/branches/branch2/conv_list/conv3/conv/Conv_quant,Conv
132,/features/stage2/unit6/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv
133,/features/stage2/unit6/branches/branch3/conv_list/conv4/conv/Conv_quant,Conv
134,/features/stage2/unit6/branches/branch3/conv_list/conv5/conv/Conv_quant,Conv
135,/features/stage2/unit6/branches/Concat_quant/0,Remap
136,/features/stage2/unit6/branches/Concat_quant/1,Remap
137,/features/stage2/unit6/branches/Concat_quant/3,Remap
138,/features/stage2/unit7/branches/branch1/conv/conv/Conv_quant,Conv
139,/features/stage2/unit7/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv
140,/features/stage2/unit7/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv
141,/features/stage2/unit7/branches/branch4/pool/AveragePool_quant,AveragePool
142,/features/stage2/unit7/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv
143,/features/stage2/unit7/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv
144,/features/stage2/unit7/branches/branch4/conv/conv/Conv_quant,Conv
145,/features/stage2/unit7/branches/branch2/conv_list/conv3/conv/Conv_quant,Conv
146,/features/stage2/unit7/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv
147,/features/stage2/unit7/branches/branch3/conv_list/conv4/conv/Conv_quant,Conv
148,/features/stage2/unit7/branches/branch3/conv_list/conv5/conv/Conv_quant,Conv
149,/features/stage2/unit7/branches/Concat_quant/0,Remap
150,/features/stage2/unit7/branches/Concat_quant/1,Remap
151,/features/stage2/unit7/branches/Concat_quant/2,Remap
152,/features/stage2/unit8/branches/branch1/conv/conv/Conv_quant,Conv
153,/features/stage2/unit8/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv
154,/features/stage2/unit8/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv
155,/features/stage2/unit8/branches/branch4/pool/AveragePool_quant,AveragePool
156,/features/stage2/unit8/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv
157,/features/stage2/unit8/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv
158,/features/stage2/unit8/branches/branch4/conv/conv/Conv_quant,Conv
159,/features/stage2/unit8/branches/branch2/conv_list/conv3/conv/Conv_quant,Conv
160,/features/stage2/unit8/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv
161,/features/stage2/unit8/branches/branch3/conv_list/conv4/conv/Conv_quant,Conv
162,/features/stage2/unit8/branches/branch3/conv_list/conv5/conv/Conv_quant,Conv
163,/features/stage2/unit8/branches/Concat_quant/1,Remap
164,/features/stage2/unit8/branches/Concat_quant/2,Remap
165,/features/stage2/unit8/branches/Concat_quant/3,Remap
166,/features/stage3/unit1/branches/branch1/conv_list/conv1/conv/Conv_quant,Conv
167,/features/stage3/unit1/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv
168,/features/stage3/unit1/branches/branch3/pool/MaxPool,MaxPool
169,/features/stage3/unit1/branches/branch1/conv_list/conv2/conv/Conv_quant,Conv
170,/features/stage3/unit1/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv
171,/features/stage3/unit1/branches/branch2/conv_list/conv3/conv/Conv_quant,Conv
172,/features/stage3/unit1/branches/branch2/conv_list/conv4/conv/Conv_quant,Conv
173,/features/stage3/unit1/branches/Concat_quant/0,Remap
174,/features/stage3/unit1/branches/Concat_quant/2,Remap
175,/features/stage3/unit2/branches/branch1/conv/conv/Conv_quant,Conv
176,/features/stage3/unit2/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv
177,/features/stage3/unit2/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv
178,/features/stage3/unit2/branches/branch4/pool/AveragePool_quant,AveragePool
179,/features/stage3/unit2/branches/branch2/conv1x3/conv/Conv_quant,Conv
180,/features/stage3/unit2/branches/branch2/conv3x1/conv/Conv_quant,Conv
181,/features/stage3/unit2/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv
182,/features/stage3/unit2/branches/branch4/conv/conv/Conv_quant,Conv
183,/features/stage3/unit2/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv
184,/features/stage3/unit2/branches/branch3/conv1x3/conv/Conv_quant,Conv
185,/features/stage3/unit2/branches/branch3/conv3x1/conv/Conv_quant,Conv
186,/features/stage3/unit2/branches/Concat_quant/0,Remap
187,/features/stage3/unit2/branches/Concat_quant/2,Remap
188,/features/stage3/unit2/branches/Concat_quant/3,Remap
189,/features/stage3/unit2/branches/Concat_quant/4,Remap
190,/features/stage3/unit2/branches/Concat_quant/5,Remap
191,/features/stage3/unit3/branches/branch1/conv/conv/Conv_quant,Conv
192,/features/stage3/unit3/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv
193,/features/stage3/unit3/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv
194,/features/stage3/unit3/branches/branch4/pool/AveragePool_quant,AveragePool
195,/features/stage3/unit3/branches/branch2/conv1x3/conv/Conv_quant,Conv
196,/features/stage3/unit3/branches/branch2/conv3x1/conv/Conv_quant,Conv
197,/features/stage3/unit3/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv
198,/features/stage3/unit3/branches/branch4/conv/conv/Conv_quant,Conv
199,/features/stage3/unit3/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv
200,/features/stage3/unit3/branches/branch3/conv1x3/conv/Conv_quant,Conv
201,/features/stage3/unit3/branches/branch3/conv3x1/conv/Conv_quant,Conv
202,/features/stage3/unit3/branches/Concat_quant/0,Remap
203,/features/stage3/unit3/branches/Concat_quant/2,Remap
204,/features/stage3/unit3/branches/Concat_quant/3,Remap
205,/features/stage3/unit3/branches/Concat_quant/4,Remap
206,/features/stage3/unit3/branches/Concat_quant/5,Remap
207,/features/stage3/unit4/branches/branch1/conv/conv/Conv_quant,Conv
208,/features/stage3/unit4/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv
209,/features/stage3/unit4/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv
210,/features/stage3/unit4/branches/branch4/pool/AveragePool_quant,AveragePool
211,/features/stage3/unit4/branches/branch2/conv1x3/conv/Conv_quant,Conv
212,/features/stage3/unit4/branches/branch2/conv3x1/conv/Conv_quant,Conv
213,/features/stage3/unit4/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv
214,/features/stage3/unit4/branches/branch4/conv/conv/Conv_quant,Conv
215,/features/stage3/unit4/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv
216,/features/stage3/unit4/branches/branch3/conv1x3/conv/Conv_quant,Conv
217,/features/stage3/unit4/branches/branch3/conv3x1/conv/Conv_quant,Conv
218,/features/stage3/unit4/branches/Concat_quant/0,Remap
219,/features/stage3/unit4/branches/Concat_quant/1,Remap
220,/features/stage3/unit4/branches/Concat_quant/3,Remap
221,/features/stage3/unit4/branches/Concat_quant/4,Remap
222,/features/stage3/unit4/branches/Concat_quant/5,Remap
223,/features/final_pool/AveragePool_quant,AveragePool
224,/output/fc/Gemm_quant,Fc
225,End,End
