M, P, Q, R, S, OC, INC, INH_, INW_, KH, KW, strideH, strideW, padL, padR, padU, padD, w_mode, latency
32,64,16,16,8,512,256,14,14,1,1,2,2,0,0,0,0,sta,7968
32,64,16,32,4,256,128,28,28,1,1,2,2,0,0,0,0,dyn,9852
32,64,16,16,8,512,256,14,14,1,1,2,2,0,0,0,0,dyn,8812
32,64,16,32,4,128,64,56,56,1,1,2,2,0,0,0,0,dyn,13872
32,64,16,32,4,128,64,56,56,1,1,2,2,0,0,0,0,sta,13872
32,96,16,16,8,256,128,28,28,1,1,2,2,0,0,0,0,dyn,7064
32,96,16,16,8,256,128,28,28,1,1,2,2,0,0,0,0,sta,7064
32,96,16,16,8,128,64,56,56,1,1,2,2,0,0,0,0,dyn,7996
32,96,16,16,8,128,64,56,56,1,1,2,2,0,0,0,0,sta,7996
32,96,16,32,4,256,128,28,28,1,1,2,2,0,0,0,0,dyn,10116
32,96,16,16,8,512,256,14,14,1,1,2,2,0,0,0,0,sta,8272
32,96,16,32,4,256,128,28,28,1,1,2,2,0,0,0,0,sta,10116
32,32,16,16,8,64,8,224,224,7,7,2,2,3,3,3,3,sta,469596
32,96,16,32,4,512,256,14,14,1,1,2,2,0,0,0,0,sta,9788
32,96,16,16,8,512,256,14,14,1,1,2,2,0,0,0,0,dyn,8956
32,96,16,32,4,512,256,14,14,1,1,2,2,0,0,0,0,dyn,9788
32,96,16,32,4,128,64,56,56,1,1,2,2,0,0,0,0,dyn,14080
32,96,16,32,4,128,64,56,56,1,1,2,2,0,0,0,0,sta,14080
32,64,16,32,4,128,64,56,56,3,3,2,2,1,1,1,1,sta,46692
32,64,16,32,4,128,64,56,56,3,3,2,2,1,1,1,1,dyn,47384
32,96,16,16,8,128,64,56,56,3,3,2,2,1,1,1,1,sta,32932
32,64,16,16,8,128,64,56,56,3,3,2,2,1,1,1,1,dyn,47392
32,64,16,16,8,128,64,56,56,3,3,2,2,1,1,1,1,sta,46696
32,32,16,32,4,64,8,224,224,7,7,2,2,3,3,3,3,dyn,469688
32,96,16,32,4,128,64,56,56,3,3,2,2,1,1,1,1,dyn,33464
