Name,Type,OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD
/features/stage2/unit2/branches/branch3/conv_list/conv5/conv/Conv_quant,Conv,192,128,17,17,1,7,1,1,3,3,0,0
/features/stage2/unit3/branches/branch1/conv/conv/Conv_quant,Conv,192,768,17,17,1,1,1,1,0,0,0,0
/features/stage2/unit3/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv,160,768,17,17,1,1,1,1,0,0,0,0
/features/stage2/unit3/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv,160,768,17,17,1,1,1,1,0,0,0,0
/features/stage2/unit3/branches/branch4/pool/AveragePool_quant,AveragePool,768,768,17,17,3,3,1,1,1,1,1,1
/features/stage2/unit3/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv,160,160,17,17,1,7,1,1,3,3,0,0
/features/stage2/unit3/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv,160,160,17,17,7,1,1,1,0,0,3,3
/features/stage2/unit3/branches/branch4/conv/conv/Conv_quant,Conv,192,768,17,17,1,1,1,1,0,0,0,0
/features/stage2/unit3/branches/branch2/conv_list/conv3/conv/Conv_quant,Conv,192,160,17,17,7,1,1,1,0,0,3,3
/features/stage2/unit3/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv,160,160,17,17,1,7,1,1,3,3,0,0
/features/stage2/unit3/branches/branch3/conv_list/conv4/conv/Conv_quant,Conv,160,160,17,17,7,1,1,1,0,0,3,3
/features/stage2/unit3/branches/branch3/conv_list/conv5/conv/Conv_quant,Conv,192,160,17,17,1,7,1,1,3,3,0,0
/features/stage2/unit4/branches/branch1/conv/conv/Conv_quant,Conv,192,768,17,17,1,1,1,1,0,0,0,0
/features/stage2/unit4/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv,160,768,17,17,1,1,1,1,0,0,0,0
/features/stage2/unit4/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv,160,768,17,17,1,1,1,1,0,0,0,0
/features/stage2/unit4/branches/branch4/pool/AveragePool_quant,AveragePool,768,768,17,17,3,3,1,1,1,1,1,1
/features/stage2/unit4/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv,160,160,17,17,1,7,1,1,3,3,0,0
/features/stage2/unit4/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv,160,160,17,17,7,1,1,1,0,0,3,3
/features/stage2/unit4/branches/branch4/conv/conv/Conv_quant,Conv,192,768,17,17,1,1,1,1,0,0,0,0
/features/stage2/unit4/branches/branch2/conv_list/conv3/conv/Conv_quant,Conv,192,160,17,17,7,1,1,1,0,0,3,3
/features/stage2/unit4/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv,160,160,17,17,1,7,1,1,3,3,0,0
/features/stage2/unit4/branches/branch3/conv_list/conv4/conv/Conv_quant,Conv,160,160,17,17,7,1,1,1,0,0,3,3
