Name,Type,OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD
/features/stage3/unit15/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit15/body/conv3/conv/Conv_quant,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit15/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit16/body/conv1/conv/Conv_quant,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit16/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit16/body/conv3/conv/Conv_quant,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit16/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit17/body/conv1/conv/Conv_quant,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit17/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit17/body/conv3/conv/Conv_quant,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit17/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit18/body/conv1/conv/Conv_quant,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit18/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit18/body/conv3/conv/Conv_quant,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit18/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit19/body/conv1/conv/Conv_quant,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit19/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit19/body/conv3/conv/Conv_quant,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit19/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit20/body/conv1/conv/Conv_quant,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit20/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit20/body/conv3/conv/Conv_quant,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit20/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit21/body/conv1/conv/Conv_quant,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit21/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit21/body/conv3/conv/Conv_quant,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit21/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit22/body/conv1/conv/Conv_quant,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit22/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit22/body/conv3/conv/Conv_quant,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit22/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit23/body/conv1/conv/Conv_quant,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit23/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit23/body/conv3/conv/Conv_quant,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit23/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage4/unit1/identity_conv/conv/Conv_quant,Conv,2048,1024,14,14,1,1,2,2,0,0,0,0
/features/stage4/unit1/body/conv1/conv/Conv_quant,Conv,512,1024,14,14,1,1,2,2,0,0,0,0
/features/stage4/unit1/body/conv2/conv/Conv_quant,Conv,512,512,7,7,3,3,1,1,1,1,1,1
/features/stage4/unit1/body/conv3/conv/Conv_quant,Conv,2048,512,7,7,1,1,1,1,0,0,0,0
/features/stage4/unit1/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage4/unit2/body/conv1/conv/Conv_quant,Conv,512,2048,7,7,1,1,1,1,0,0,0,0
/features/stage4/unit2/body/conv2/conv/Conv_quant,Conv,512,512,7,7,3,3,1,1,1,1,1,1
/features/stage4/unit2/body/conv3/conv/Conv_quant,Conv,2048,512,7,7,1,1,1,1,0,0,0,0
/features/stage4/unit2/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage4/unit3/body/conv1/conv/Conv_quant,Conv,512,2048,7,7,1,1,1,1,0,0,0,0
/features/stage4/unit3/body/conv2/conv/Conv_quant,Conv,512,512,7,7,3,3,1,1,1,1,1,1
/features/stage4/unit3/body/conv3/conv/Conv_quant,Conv,2048,512,7,7,1,1,1,1,0,0,0,0
/features/stage4/unit3/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/final_pool/AveragePool_quant,AveragePool,2048,2048,7,7,7,7,1,1,0,0,0,0
/output/Gemm_quant,Fc,1000,2048,0,0,0,0,0,0,0,0,0,0
